Running backward pointer-based scan on one thread.
Cache line size 64 B, max memory size 1024 MiB.
Performing 10000000 accesses per size.

Thread, Mem size (MiB), Access latency (ns)
0, 0.00049, 1.145
0, 0.00098, 1.153
0, 0.00195, 1.148
0, 0.00293, 1.149
0, 0.00391, 1.145
0, 0.00586, 1.149
0, 0.00781, 1.147
0, 0.01172, 1.146
0, 0.01562, 1.152
0, 0.02344, 1.156
0, 0.03125, 1.249
0, 0.04688, 1.329
0, 0.06250, 1.667
0, 0.09375, 1.565
0, 0.12500, 1.503
0, 0.18750, 1.486
0, 0.25000, 1.528
0, 0.37500, 1.495
0, 0.50000, 1.501
0, 0.75000, 1.560
0, 1.00000, 1.966
0, 1.50000, 2.431
0, 2.00000, 2.795
0, 3.00000, 2.938
0, 4.00000, 2.943
0, 6.00000, 3.030
0, 8.00000, 3.438
0, 12.00000, 4.873
0, 16.00000, 5.780
0, 24.00000, 7.282
0, 32.00000, 8.185
0, 48.00000, 8.710
0, 64.00000, 9.149
0, 96.00000, 8.884
0, 128.00000, 8.349
0, 192.00000, 8.628
0, 256.00000, 8.828
0, 384.00000, 8.889
0, 512.00000, 10.154
0, 768.00000, 9.988
0, 1024.00000, 9.355
