Running backward pointer-based scan on two threads.
Cache line size 64 B, max memory size 1024 MiB.
Performing 10000000 accesses per size.

Thread, Mem size (MiB), Access latency (ns)
0, 0.00049, 1.295
1, 0.00049, 1.326
0, 0.00098, 1.382
1, 0.00098, 1.303
0, 0.00195, 1.376
1, 0.00195, 1.358
0, 0.00293, 1.381
1, 0.00293, 1.348
0, 0.00391, 1.377
1, 0.00391, 1.355
1, 0.00586, 1.354
0, 0.00586, 1.387
0, 0.00781, 1.384
1, 0.00781, 1.346
0, 0.01172, 1.371
1, 0.01172, 1.358
0, 0.01562, 1.359
1, 0.01562, 1.365
0, 0.02344, 1.374
1, 0.02344, 1.362
1, 0.03125, 1.371
0, 0.03125, 1.363
1, 0.04688, 1.360
0, 0.04688, 1.353
1, 0.06250, 1.673
0, 0.06250, 1.843
1, 0.09375, 1.550
0, 0.09375, 1.692
1, 0.12500, 1.485
0, 0.12500, 1.464
1, 0.18750, 1.480
0, 0.18750, 1.449
1, 0.25000, 1.477
0, 0.25000, 1.454
1, 0.37500, 1.471
0, 0.37500, 1.436
1, 0.50000, 1.519
0, 0.50000, 1.464
1, 0.75000, 1.510
0, 0.75000, 1.458
0, 1.00000, 1.753
1, 1.00000, 1.568
0, 1.50000, 2.310
1, 1.50000, 2.280
0, 2.00000, 2.744
1, 2.00000, 2.699
0, 3.00000, 2.845
1, 3.00000, 2.820
1, 4.00000, 3.142
0, 4.00000, 3.136
0, 6.00000, 4.776
1, 6.00000, 3.962
0, 8.00000, 4.135
1, 8.00000, 6.016
1, 12.00000, 8.353
0, 12.00000, 6.272
0, 16.00000, 8.201
1, 16.00000, 9.682
1, 24.00000, 10.755
0, 24.00000, 10.216
1, 32.00000, 11.097
0, 32.00000, 10.515
0, 48.00000, 10.495
1, 48.00000, 10.925
0, 64.00000, 10.538
1, 64.00000, 10.929
0, 96.00000, 10.582
1, 96.00000, 11.275
1, 128.00000, 10.718
0, 128.00000, 10.276
0, 192.00000, 10.029
1, 192.00000, 10.123
0, 256.00000, 11.286
1, 256.00000, 11.473
1, 384.00000, 11.853
0, 384.00000, 11.430
1, 512.00000, 11.674
0, 512.00000, 11.303
1, 768.00000, 12.144
0, 768.00000, 11.509
0, 1024.00000, 10.455
1, 1024.00000, 11.038
