Running forward pointer-based scan on one thread.
Cache line size 64 B, max memory size 1024 MiB.
Performing 10000000 accesses per size.

Thread, Mem size (MiB), Access latency (ns)
0, 0.00049, 1.270
0, 0.00098, 1.293
0, 0.00195, 1.289
0, 0.00293, 1.290
0, 0.00391, 1.289
0, 0.00586, 1.268
0, 0.00781, 1.307
0, 0.01172, 1.291
0, 0.01562, 1.301
0, 0.02344, 1.336
0, 0.03125, 1.379
0, 0.04688, 1.242
0, 0.06250, 1.880
0, 0.09375, 1.485
0, 0.12500, 1.426
0, 0.18750, 1.399
0, 0.25000, 1.326
0, 0.37500, 1.329
0, 0.50000, 1.321
0, 0.75000, 1.358
0, 1.00000, 1.547
0, 1.50000, 2.181
0, 2.00000, 2.453
0, 3.00000, 2.522
0, 4.00000, 2.516
0, 6.00000, 2.639
0, 8.00000, 3.009
0, 12.00000, 5.098
0, 16.00000, 6.796
0, 24.00000, 8.206
0, 32.00000, 8.861
0, 48.00000, 9.296
0, 64.00000, 9.622
0, 96.00000, 9.645
0, 128.00000, 9.662
0, 192.00000, 9.062
0, 256.00000, 8.655
0, 384.00000, 8.817
0, 512.00000, 9.863
0, 768.00000, 10.623
0, 1024.00000, 10.313
