Running backward index-based scan on one thread.
Cache line size 64 B, max memory size 1024 MiB.
Performing 10000000 accesses per size.

Thread, Mem size (MiB), Access latency (ns)
0, 0.00049, 0.356
0, 0.00098, 0.241
0, 0.00195, 0.243
0, 0.00293, 0.408
0, 0.00391, 0.333
0, 0.00586, 0.349
0, 0.00781, 0.356
0, 0.01172, 0.254
0, 0.01562, 0.273
0, 0.02344, 0.276
0, 0.03125, 0.347
0, 0.04688, 0.402
0, 0.06250, 0.399
0, 0.09375, 0.454
0, 0.12500, 0.460
0, 0.18750, 0.461
0, 0.25000, 0.459
0, 0.37500, 0.472
0, 0.50000, 0.464
0, 0.75000, 0.623
0, 1.00000, 0.654
0, 1.50000, 1.197
0, 2.00000, 1.623
0, 3.00000, 1.699
0, 4.00000, 1.683
0, 6.00000, 1.740
0, 8.00000, 1.851
0, 12.00000, 2.425
0, 16.00000, 3.354
0, 24.00000, 4.279
0, 32.00000, 4.745
0, 48.00000, 5.237
0, 64.00000, 6.091
0, 96.00000, 5.655
0, 128.00000, 5.603
0, 192.00000, 5.120
0, 256.00000, 5.080
0, 384.00000, 5.301
0, 512.00000, 5.559
0, 768.00000, 5.722
0, 1024.00000, 5.116
