Running backward index-based scan on one thread.
Cache line size 64 B, max memory size 256 MiB.
Performing 10000000 accesses per size.

Thread, Mem size (MiB), Access latency (ns)
0, 0.00098, 0.474
0, 0.00195, 0.282
0, 0.00293, 0.335
0, 0.00391, 0.406
0, 0.00586, 0.357
0, 0.00781, 0.298
0, 0.01172, 0.277
0, 0.01562, 0.382
0, 0.02344, 0.268
0, 0.03125, 0.269
0, 0.04688, 0.263
0, 0.06250, 0.345
0, 0.09375, 0.408
0, 0.12500, 0.436
0, 0.18750, 0.443
0, 0.25000, 0.500
0, 0.37500, 0.456
0, 0.50000, 0.459
0, 0.75000, 0.562
0, 1.00000, 0.714
0, 1.50000, 1.438
0, 2.00000, 1.791
0, 3.00000, 1.775
0, 4.00000, 1.645
0, 6.00000, 1.728
0, 8.00000, 1.821
0, 12.00000, 2.467
0, 16.00000, 3.043
0, 24.00000, 3.886
0, 32.00000, 4.434
0, 48.00000, 4.758
0, 64.00000, 4.880
0, 96.00000, 5.211
0, 128.00000, 5.625
0, 192.00000, 5.657
0, 256.00000, 5.790
