Running backward pointer-based scan on one thread.
Cache line size 64 B, max memory size 1024 MiB.
Performing 10000000 accesses per size.

Thread, Mem size (MiB), Access latency (ns)
0, 0.00049, 1.145
0, 0.00098, 1.144
0, 0.00195, 1.148
0, 0.00293, 1.143
0, 0.00391, 1.158
0, 0.00586, 1.140
0, 0.00781, 1.147
0, 0.01172, 1.144
0, 0.01562, 1.150
0, 0.02344, 1.151
0, 0.03125, 1.157
0, 0.04688, 1.147
0, 0.06250, 1.435
0, 0.09375, 1.352
0, 0.12500, 1.305
0, 0.18750, 1.323
0, 0.25000, 1.273
0, 0.37500, 1.263
0, 0.50000, 1.281
0, 0.75000, 1.385
0, 1.00000, 1.644
0, 1.50000, 2.035
0, 2.00000, 2.409
0, 3.00000, 2.473
0, 4.00000, 2.461
0, 6.00000, 2.723
0, 8.00000, 3.117
0, 12.00000, 4.481
0, 16.00000, 5.666
0, 24.00000, 7.033
0, 32.00000, 7.834
0, 48.00000, 11.462
0, 64.00000, 8.737
0, 96.00000, 8.926
0, 128.00000, 8.816
0, 192.00000, 8.667
0, 256.00000, 8.608
0, 384.00000, 8.727
0, 512.00000, 8.889
0, 768.00000, 8.583
0, 1024.00000, 7.989
