size_mib,latency_ns
0.00049,1.145
0.00098,1.144
0.00195,1.148
0.00293,1.143
0.00391,1.158
0.00586,1.14
0.00781,1.147
0.01172,1.144
0.01562,1.15
0.02344,1.151
0.03125,1.157
0.04688,1.147
0.0625,1.435
0.09375,1.352
0.125,1.305
0.1875,1.323
0.25,1.273
0.375,1.263
0.5,1.281
0.75,1.385
1.0,1.644
1.5,2.035
2.0,2.409
3.0,2.473
4.0,2.461
6.0,2.723
8.0,3.117
12.0,4.481
16.0,5.666
24.0,7.033
32.0,7.834
48.0,11.462
64.0,8.737
96.0,8.926
128.0,8.816
192.0,8.667
256.0,8.608
384.0,8.727
512.0,8.889
768.0,8.583
1024.0,7.989
